Site,Store,Brand,Pattern,Size,Type,Price
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BUDGET,BUDGET ECONOMY,205/55R16 91V,['SUMMER'],47.06
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BUDGET,BUDGET ECONOMY,205/55R16 91H,['SUMMER'],47.06
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BUDGET,BUDGET ECONOMY,205/55R16 91W,['SUMMER'],49.39
www.dexel.co.uk,Attercliffe (Sheffield) Branch,LANDSAIL,LANDSAIL LS388,205/55R16 91V,['SUMMER'],65.79
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BUDGET,XL BUDGET ECONOMY,205/55R16 94Y,"['SUMMER', 'EXTRA LOAD']",66.48
www.dexel.co.uk,Attercliffe (Sheffield) Branch,LANDSAIL,LANDSAIL LS388,205/55ZR16 91W,['SUMMER'],68.07
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BUDGET,BUDGET ECONOMY WINTER,205/55R16 91H,['WINTER'],76.14
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH-ES ES32,205/55R16 91V,['SUMMER'],78.54
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH-GT AE51,205/55R16 91V,['SUMMER'],78.54
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE,205/55R16 91V,['SUMMER'],79.50
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE,205/55R16 91V,['SUMMER'],79.50
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,VREDESTEIN ULTRAC+,205/55R16 91H,['SUMMER'],80.20
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,VREDESTEIN ULTRAC+,205/55R16 91V,['SUMMER'],81.18
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE XL,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",81.39
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE XL,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",81.39
www.dexel.co.uk,Attercliffe (Sheffield) Branch,LANDSAIL,XL LANDSAIL LS388,205/55ZR16 94W,"['SUMMER', 'EXTRA LOAD']",82.58
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH-ES ES32,205/55R16 91H,['SUMMER'],83.13
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP SPORT BLURESPONSE,205/55R16 91H,['SUMMER'],83.64
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP SPORT BLURESPONSE,205/55R16 91V,['SUMMER'],85.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP SPORT BLURESPONSE VW,205/55R16 91V,['SUMMER'],85.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH-A AE50,205/55R16 91V,['SUMMER'],85.41
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE,205/55R16 91V,['ALL SEASON'],85.84
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,UNIROYAL RAINSPORT 5,205/55R16 91H,['SUMMER'],85.86
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,UNIROYAL RAINSPORT 5,205/55R16 91V,['SUMMER'],86.70
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,XL VREDESTEIN ULTRAC+,205/55R16 94W,"['SUMMER', 'EXTRA LOAD']",87.06
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA ADVAN DB DECIBEL V552,205/55R16 91W,['SUMMER'],87.78
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH-GT AE51,205/55R16 91W,['SUMMER'],87.78
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,XL DUNLOP SP SPORT BLURESPONSE,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",88.39
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA C.DRIVE2 AC02A MO,205/55R16 91H,['SUMMER'],89.96
